"entrées et plats composés";"soupes";"-";"Soupe aux champignons, préemballée à réchauffer";"48,2";"92";"0,81";"4,09";"3,07";"0,91";"-";"0,52";"0";"1,58";"0,4";"0,96";"0,78";"7";"490";"0,016";"0,09";"8,4";"2";"0,018";"12";"62";"-";"312";"0,06";"5,5";"0";"0,1";"0,24";"9,6";"-";"-";"0,006";"0,008";"0,17";"0,072";"0,007";"1";"0"
"entrées et plats composés";"soupes";"-";"Soupe à la carotte, préemballée à réchauffer";"33,2";"91,2";"0,61";"3,89";"1,41";"1,82";"2,08";"1,22";"0";"0,96";"0,36";"0,029";"0,65";"15";"-";"-";"0,3";"-";"7";"-";"20";"140";"-";"259";"-";"4";"3500";"-";"-";"-";"-";"11";"0,05";"-";"0,65";"-";"0,08";"9";"-"
"entrées et plats composés";"soupes";"-";"Soupe à la tomate, préemballée à réchauffer";"38,7";"90,3";"0,74";"6,27";"0,99";"2,95";"1,8";"0,88";"0";"0,36";"0,29";"0,3";"0,64";"11";"416";"0,03";"0,14";"< 20";"5,9";"0,04";"15";"130";"< 20";"259";"0,08";"< 21";"1680";"0,6";"0,69";"1,01";"-";"6,4";"0,01";"0,056";"0,58";"0,2";"0,2";"23,8";"0,01"
"entrées et plats composés";"soupes";"-";"Soupe chorba frik, à base de viande et de frik";"62,9";"85,1";"3,75";"5,4";"2,5";"0,9";"3,9";"1,9";"0";"-";"-";"-";"0,84";"19";"-";"0,07";"0,97";"2";"17";"0,31";"54";"157";"1,4";"337";"0,84";"4,4";"172";"0,02";"0,6";"-";"-";"3,2";"0,03";"0,04";"0,96";"0,18";"0,07";"16";"0,11"
"entrées et plats composés";"soupes";"-";"Soupe minestrone, préemballée à réchauffer";"48,8";"89,4";"1,2";"5,6";"2";"1,7";"-";"1,8";"0";"0,6";"0,34";"0,29";"0,75";"33,3";"460";"0,11";"0,56";"1";"12,5";"0,11";"34,5";"106";"< 2,2";"300";"0,19";"0";"885";"0";"0,67";"3,2";"-";"1,25";"0,023";"0,034";"0,44";"0,22";"0,071";"10";"0"
"entrées et plats composés";"soupes";"-";"Soupe au pistou, déshydratée reconstituée";"30,4";"88,2";"1,2";"5,2";"0,35";"1,2";"4";"0,8";"0";"< 0,2";"0,23";"0,06";"0,64";"19";"-";"0,1";"0,4";"1";"14";"0,1";"24";"132";"2,2";"256";"0,19";"0";"900";"-";"0,2";"-";"-";"7";"-";"-";"-";"-";"0,07";"18";"-"
"entrées et plats composés";"soupes";"-";"Soupe de poissons et / ou crustacés, déshydratée reconstituée";"29";"90,6";"0,91";"5,09";"0,5";"1,06";"-";"0,21";"0";"0,14";"-";"-";"0,63";"-";"-";"-";"-";"-";"-";"-";"0";"0,01";"-";"253";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe asiatique, avec pâtes, déshydratée reconstituée";"29,8";"93,3";"0,97";"5,25";"0,44";"1,21";"-";"0,49";"0";"0,17";"-";"-";"0,84";"-";"-";"-";"-";"-";"-";"-";"-";"37,8";"-";"334";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe marocaine, déshydratée reconstituée";"34,3";"90";"1,2";"5,77";"0,55";"1,49";"-";"0,72";"0";"0,23";"-";"-";"0,8";"-";"-";"-";"-";"-";"-";"-";"-";"80,5";"-";"318";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux poireaux et pommes de terre, déshydratée reconstituée";"26,1";"92,8";"0,63";"4,84";"0,41";"0,91";"-";"0,28";"0";"0,2";"-";"-";"0,72";"-";"417";"-";"-";"-";"-";"-";"0,013";"0,023";"-";"292";"-";"10";"90";"-";"-";"-";"-";"30";"0,07";"-";"0,8";"0,27";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe à la volaille et aux légumes, déshydratée reconstituée";"27,3";"-";"0,99";"4,58";"0,44";"0,55";"-";"0,51";"0";"0,17";"-";"-";"0,73";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"292";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"0,03";"8";"-"
